duracao;intensidade;f01;f02;f03;falante;modalidade;frase;acento;escolaridade;genero;vogal;Variedade;intst;f0st;durz;n_vogais
60;54;216;223;222;1;i;kwt;paroxitona;fundamental;feminino;V4;Mazagao;-15,161;3,638;-0,431;9
100;59;195;174;140;1;i;kwt;paroxitona;fundamental;feminino;V1;Mazagao;-10,161;-0,886;-0,056;9
190;64;177;202;207;1;i;kwt;paroxitona;fundamental;feminino;V2;Mazagao;-5,161;1,553;0,787;9
0;0;50;50;50;1;i;kwt;paroxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;i;kwt;paroxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
60;55;209;217;210;1;i;kwt;paroxitona;fundamental;feminino;V1;Mazagao;-14,161;2,970;-0,431;9
100;59;195;174;140;1;i;kwt;paroxitona;fundamental;feminino;V2;Mazagao;-10,161;-0,886;-0,056;9
190;64;177;202;207;1;i;kwt;paroxitona;fundamental;feminino;V3;Mazagao;-5,161;1,553;0,787;9
0;0;50;50;50;1;i;kwt;paroxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
61;59;216;205;195;1;a;pwk;oxitona;fundamental;feminino;V1;Mazagao;-10,161;2,417;-0,422;9
160;68;198;225;251;1;a;pwk;oxitona;fundamental;feminino;V2;Mazagao;-1,161;3,975;0,506;9
30;58;249;238;237;1;a;pwk;oxitona;fundamental;feminino;V3;Mazagao;-11,161;5,214;-0,712;9
50;51;210;213;214;1;a;pwk;oxitona;fundamental;feminino;V4;Mazagao;-18,161;2,997;-0,525;9
50;63;276;236;215;1;a;pwk;oxitona;fundamental;feminino;V1;Mazagao;-6,161;5,285;-0,525;9
63;60;217;206;195;1;a;pwk;oxitona;fundamental;feminino;V2;Mazagao;-9,161;2,473;-0,403;9
160;68;198;225;251;1;a;pwk;oxitona;fundamental;feminino;V3;Mazagao;-1,161;3,975;0,506;9
30;58;249;238;237;1;a;pwk;oxitona;fundamental;feminino;V4;Mazagao;-11,161;5,214;-0,712;9
180;65;211;213;226;1;a;pwk;oxitona;fundamental;feminino;V1;Mazagao;-4,161;3,347;0,693;9
21;56;240;222;208;1;a;pwk;oxitona;fundamental;feminino;V2;Mazagao;-13,161;3,872;-0,796;9
63;51;204;192;190;1;a;pwk;oxitona;fundamental;feminino;V3;Mazagao;-18,161;1,553;-0,403;9
170;57;122;218;266;1;a;pwk;oxitona;fundamental;feminino;V4;Mazagao;-12,161;2,134;0,600;9
0;0;50;50;50;1;i;pwk;oxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
190;75;209;221;236;1;i;pwk;oxitona;fundamental;feminino;V2;Mazagao;5,839;3,768;0,787;9
70;67;241;215;205;1;i;pwk;oxitona;fundamental;feminino;V3;Mazagao;-2,161;3,638;-0,337;9
46;56;197;190;183;1;i;pwk;oxitona;fundamental;feminino;V4;Mazagao;-13,161;1,073;-0,562;9
176;57;166;193;223;1;i;pwk;oxitona;fundamental;feminino;V1;Mazagao;-12,161;1,434;0,656;9
0;0;50;50;50;1;i;pwk;oxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
190;75;209;221;236;1;i;pwk;oxitona;fundamental;feminino;V3;Mazagao;5,839;3,768;0,787;9
70;67;241;215;205;1;i;pwk;oxitona;fundamental;feminino;V4;Mazagao;-2,161;3,638;-0,337;9
110;65;183;163;161;1;i;pwk;oxitona;fundamental;feminino;V1;Mazagao;-4,161;-0,954;0,037;9
179;57;166;194;220;1;i;pwk;oxitona;fundamental;feminino;V2;Mazagao;-12,161;1,375;0,684;9
0;0;50;50;50;1;i;pwk;oxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
190;75;209;221;236;1;i;pwk;oxitona;fundamental;feminino;V4;Mazagao;5,839;3,768;0,787;9
80;53;182;189;173;1;i;pwk;oxitona;fundamental;feminino;V1;Mazagao;-16,161;0,265;-0,244;9
110;65;183;163;161;1;i;pwk;oxitona;fundamental;feminino;V2;Mazagao;-4,161;-0,954;0,037;9
183;57;166;195;215;1;i;pwk;oxitona;fundamental;feminino;V3;Mazagao;-12,161;1,255;0,721;9
0;0;50;50;50;1;a;pwp;proparoxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;a;pwp;proparoxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
160;65;205;166;167;1;a;pwp;proparoxitona;fundamental;feminino;V2;Mazagao;-4,161;0,073;0,506;9
56;50;145;147;133;1;a;pwp;proparoxitona;fundamental;feminino;V3;Mazagao;-19,161;-4,008;-0,468;9
0;0;50;50;50;1;a;pwp;proparoxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
30;58;242;234;230;1;a;pwp;proparoxitona;fundamental;feminino;V1;Mazagao;-11,161;4,778;-0,712;9
0;0;50;50;50;1;a;pwp;proparoxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
160;65;205;166;167;1;a;pwp;proparoxitona;fundamental;feminino;V3;Mazagao;-4,161;0,073;0,506;9
58;51;145;146;133;1;a;pwp;proparoxitona;fundamental;feminino;V4;Mazagao;-18,161;-4,049;-0,450;9
160;66;200;209;239;1;a;pwp;proparoxitona;fundamental;feminino;V1;Mazagao;-3,161;3,294;0,506;9
30;58;242;234;230;1;a;pwp;proparoxitona;fundamental;feminino;V2;Mazagao;-11,161;4,778;-0,712;9
0;0;50;50;50;1;a;pwp;proparoxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
160;65;205;166;167;1;a;pwp;proparoxitona;fundamental;feminino;V4;Mazagao;-4,161;0,073;0,506;9
68;55;203;190;186;1;i;pwp;proparoxitona;fundamental;feminino;V1;Mazagao;-14,161;1,345;-0,356;9
170;67;195;220;258;1;i;pwp;proparoxitona;fundamental;feminino;V2;Mazagao;-2,161;3,949;0,600;9
40;60;277;240;214;1;i;pwp;proparoxitona;fundamental;feminino;V3;Mazagao;-9,161;5,380;-0,618;9
54;55;187;184;181;1;i;pwp;proparoxitona;fundamental;feminino;V4;Mazagao;-14,161;0,518;-0,487;9
70;63;268;159;180;1;i;pwp;proparoxitona;fundamental;feminino;V1;Mazagao;-6,161;2,162;-0,337;9
70;55;203;190;186;1;i;pwp;proparoxitona;fundamental;feminino;V2;Mazagao;-14,161;1,345;-0,337;9
125;66;195;208;248;1;i;pwp;proparoxitona;fundamental;feminino;V3;Mazagao;-3,161;3,374;0,178;9
40;60;277;240;214;1;i;pwp;proparoxitona;fundamental;feminino;V4;Mazagao;-9,161;5,380;-0,618;9
115;71;204;212;240;1;i;pwp;proparoxitona;fundamental;feminino;V1;Mazagao;1,839;3,506;0,084;9
70;63;268;159;180;1;i;pwp;proparoxitona;fundamental;feminino;V2;Mazagao;-6,161;2,162;-0,337;9
72;55;203;189;186;1;i;pwp;proparoxitona;fundamental;feminino;V3;Mazagao;-14,161;1,315;-0,318;9
170;67;195;220;258;1;i;pwp;proparoxitona;fundamental;feminino;V4;Mazagao;-2,161;3,949;0,600;9
0;0;50;50;50;1;a;pws;paroxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
250;68;222;225;224;1;a;pws;paroxitona;fundamental;feminino;V2;Mazagao;-1,161;3,898;1,349;9
50;62;220;215;210;1;a;pws;paroxitona;fundamental;feminino;V3;Mazagao;-7,161;3,214;-0,525;9
64;52;228;215;217;1;a;pws;paroxitona;fundamental;feminino;V4;Mazagao;-17,161;3,612;-0,393;9
0;0;50;50;50;1;a;pws;paroxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
105;59;202;202;199;1;a;pws;paroxitona;fundamental;feminino;V2;Mazagao;-10,161;2,048;-0,009;9
91;55;189;153;137;1;a;pws;paroxitona;fundamental;feminino;V3;Mazagao;-14,161;-1,938;-0,141;9
0;0;50;50;50;1;a;pws;paroxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
110;59;202;197;196;1;a;pws;paroxitona;fundamental;feminino;V1;Mazagao;-10,161;1,817;0,037;9
57;49;184;183;183;1;a;pws;paroxitona;fundamental;feminino;V2;Mazagao;-20,161;0,455;-0,459;9
150;62;191;192;190;1;a;pws;paroxitona;fundamental;feminino;V3;Mazagao;-7,161;1,164;0,412;9
200;60;187;199;204;1;a;pws;paroxitona;fundamental;feminino;V4;Mazagao;-9,161;1,671;0,881;9
250;68;222;225;224;1;a;pws;paroxitona;fundamental;feminino;V1;Mazagao;-1,161;3,898;1,349;9
50;62;220;215;210;1;a;pws;paroxitona;fundamental;feminino;V2;Mazagao;-7,161;3,214;-0,525;9
65;49;221;216;217;1;a;pws;paroxitona;fundamental;feminino;V3;Mazagao;-20,161;3,453;-0,384;9
260;65;183;201;215;1;a;pws;paroxitona;fundamental;feminino;V4;Mazagao;-4,161;1,933;1,443;9
90;59;202;198;199;1;a;pws;paroxitona;fundamental;feminino;V1;Mazagao;-10,161;1,933;-0,150;9
99;55;189;147;137;1;a;pws;paroxitona;fundamental;feminino;V2;Mazagao;-14,161;-2,156;-0,066;9
0;0;50;50;50;1;a;pws;paroxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;i;pws;paroxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
58;50;205;190;198;1;i;pws;paroxitona;fundamental;feminino;V1;Mazagao;-19,161;1,758;-0,450;9
111;63;203;197;195;1;i;pws;paroxitona;fundamental;feminino;V2;Mazagao;-6,161;1,817;0,047;9
286;64;197;209;210;1;i;pws;paroxitona;fundamental;feminino;V3;Mazagao;-5,161;2,417;1,686;9
0;0;50;50;50;1;i;pws;paroxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
51;61;229;224;221;1;i;pws;paroxitona;fundamental;feminino;V1;Mazagao;-8,161;3,975;-0,515;9
127;49;222;214;213;1;i;pws;paroxitona;fundamental;feminino;V2;Mazagao;-20,161;3,321;0,197;9
250;65;182;208;217;1;i;pws;paroxitona;fundamental;feminino;V3;Mazagao;-4,161;2,162;1,349;9
110;60;212;205;210;1;i;pws;paroxitona;fundamental;feminino;V4;Mazagao;-9,161;2,724;0,037;9
180;64;203;208;205;1;i;pws;paroxitona;fundamental;feminino;V1;Mazagao;-5,161;2,417;0,693;9
68;47;130;129;129;1;i;pws;paroxitona;fundamental;feminino;V2;Mazagao;-22,161;-5,585;-0,356;9
0;0;50;50;50;1;i;pws;paroxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
320;66;200;215;226;1;i;pws;paroxitona;fundamental;feminino;V4;Mazagao;-3,161;3,106;2,005;9
110;63;203;197;195;1;i;pws;paroxitona;fundamental;feminino;V1;Mazagao;-6,161;1,817;0,037;9
210;65;197;209;209;1;i;pws;paroxitona;fundamental;feminino;V2;Mazagao;-4,161;2,389;0,974;9
0;0;50;50;50;1;i;pws;paroxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
66;59;189;164;160;1;i;pws;paroxitona;fundamental;feminino;V4;Mazagao;-10,161;-0,751;-0,375;9
54;60;211;208;199;1;a;pwt;paroxitona;fundamental;feminino;V1;Mazagao;-9,161;2,473;-0,487;9
160;65;194;213;231;1;a;pwt;paroxitona;fundamental;feminino;V2;Mazagao;-4,161;3,025;0,506;9
30;56;250;242;237;1;a;pwt;paroxitona;fundamental;feminino;V3;Mazagao;-13,161;5,333;-0,712;9
54;60;237;236;217;1;a;pwt;paroxitona;fundamental;feminino;V4;Mazagao;-9,161;4,381;-0,487;9
50;63;261;229;218;1;a;pwt;paroxitona;fundamental;feminino;V1;Mazagao;-6,161;4,827;-0,525;9
60;60;210;208;199;1;a;pwt;paroxitona;fundamental;feminino;V2;Mazagao;-9,161;2,445;-0,431;9
160;65;194;213;231;1;a;pwt;paroxitona;fundamental;feminino;V3;Mazagao;-4,161;3,025;0,506;9
52;57;250;248;237;1;a;pwt;paroxitona;fundamental;feminino;V4;Mazagao;-12,161;5,475;-0,506;9
170;72;202;211;234;1;a;pwt;paroxitona;fundamental;feminino;V1;Mazagao;2,839;3,267;0,600;9
50;63;261;229;218;1;a;pwt;paroxitona;fundamental;feminino;V2;Mazagao;-6,161;4,827;-0,525;9
58;60;210;208;199;1;a;pwt;paroxitona;fundamental;feminino;V3;Mazagao;-9,161;2,445;-0,450;9
160;65;194;213;231;1;a;pwt;paroxitona;fundamental;feminino;V4;Mazagao;-4,161;3,025;0,506;9
0;0;50;50;50;1;i;pwt;paroxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
200;77;217;224;239;1;i;pwt;paroxitona;fundamental;feminino;V2;Mazagao;7,839;4,128;0,881;9
40;62;255;225;208;1;i;pwt;paroxitona;fundamental;feminino;V3;Mazagao;-7,161;4,331;-0,618;9
54;57;199;196;182;1;i;pwt;paroxitona;fundamental;feminino;V4;Mazagao;-12,161;1,285;-0,487;9
0;0;50;50;50;1;i;pwt;paroxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;i;pwt;paroxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
200;77;217;224;239;1;i;pwt;paroxitona;fundamental;feminino;V3;Mazagao;7,839;4,128;0,881;9
40;62;255;225;208;1;i;pwt;paroxitona;fundamental;feminino;V4;Mazagao;-7,161;4,331;-0,618;9
170;71;178;199;205;1;i;pwt;paroxitona;fundamental;feminino;V1;Mazagao;1,839;1,434;0,600;9
0;0;50;50;50;1;i;pwt;paroxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;i;pwt;paroxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
200;77;217;224;239;1;i;pwt;paroxitona;fundamental;feminino;V4;Mazagao;7,839;4,128;0,881;9
106;64;199;178;158;1;i;pwt;paroxitona;fundamental;feminino;V1;Mazagao;-5,161;-0,024;0,000;9
170;71;178;199;205;1;i;pwt;paroxitona;fundamental;feminino;V2;Mazagao;1,839;1,434;0,600;9
0;0;50;50;50;1;i;pwt;paroxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;a;twk;oxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
100;69;208;222;215;1;a;twk;oxitona;fundamental;feminino;V2;Mazagao;-0,161;3,214;-0,056;9
160;72;226;234;245;1;a;twk;oxitona;fundamental;feminino;V3;Mazagao;2,839;4,753;0,506;9
40;56;236;208;205;1;a;twk;oxitona;fundamental;feminino;V4;Mazagao;-13,161;3,321;-0,618;9
76;52;169;161;152;1;a;twk;oxitona;fundamental;feminino;V1;Mazagao;-17,161;-1,830;-0,281;9
0;0;50;50;50;1;a;twk;oxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
100;69;208;222;215;1;a;twk;oxitona;fundamental;feminino;V3;Mazagao;-0,161;3,214;-0,056;9
160;72;226;234;245;1;a;twk;oxitona;fundamental;feminino;V4;Mazagao;2,839;4,753;0,506;9
130;65;206;201;196;1;a;twk;oxitona;fundamental;feminino;V1;Mazagao;-4,161;2,048;0,225;9
74;52;169;162;152;1;a;twk;oxitona;fundamental;feminino;V2;Mazagao;-17,161;-1,794;-0,300;9
0;0;50;50;50;1;a;twk;oxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
100;69;208;222;215;1;a;twk;oxitona;fundamental;feminino;V4;Mazagao;-0,161;3,214;-0,056;9
60;46;205;201;199;1;a;twk;oxitona;fundamental;feminino;V1;Mazagao;-23,161;2,105;-0,431;9
130;65;206;201;196;1;a;twk;oxitona;fundamental;feminino;V2;Mazagao;-4,161;2,048;0,225;9
79;51;169;161;152;1;a;twk;oxitona;fundamental;feminino;V3;Mazagao;-18,161;-1,830;-0,253;9
0;0;50;50;50;1;i;twk;oxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
50;56;203;189;186;1;i;twk;oxitona;fundamental;feminino;V1;Mazagao;-13,161;1,315;-0,525;9
80;50;193;187;174;1;i;twk;oxitona;fundamental;feminino;V2;Mazagao;-19,161;0,581;-0,244;9
67;66;186;173;148;1;i;twk;oxitona;fundamental;feminino;V3;Mazagao;-3,161;-0,954;-0,365;9
136;57;165;167;225;1;i;twk;oxitona;fundamental;feminino;V4;Mazagao;-12,161;0,674;0,281;9
30;58;224;208;197;1;i;twk;oxitona;fundamental;feminino;V1;Mazagao;-11,161;2,779;-0,712;9
58;50;194;191;185;1;i;twk;oxitona;fundamental;feminino;V2;Mazagao;-19,161;1,073;-0,450;9
60;47;188;183;176;1;i;twk;oxitona;fundamental;feminino;V3;Mazagao;-22,161;0,360;-0,431;9
120;60;181;160;164;1;i;twk;oxitona;fundamental;feminino;V4;Mazagao;-9,161;-1,023;0,131;9
190;67;190;229;247;1;i;twk;oxitona;fundamental;feminino;V1;Mazagao;-2,161;3,768;0,787;9
30;58;224;208;197;1;i;twk;oxitona;fundamental;feminino;V2;Mazagao;-11,161;2,779;-0,712;9
68;50;194;190;186;1;i;twk;oxitona;fundamental;feminino;V3;Mazagao;-19,161;1,073;-0,356;9
60;47;188;183;176;1;i;twk;oxitona;fundamental;feminino;V4;Mazagao;-22,161;0,360;-0,431;9
55;53;215;192;180;1;a;twp;proparoxitona;fundamental;feminino;V1;Mazagao;-16,161;1,582;-0,478;9
190;67;183;206;237;1;a;twp;proparoxitona;fundamental;feminino;V2;Mazagao;-2,161;2,696;0,787;9
40;58;233;217;211;1;a;twp;proparoxitona;fundamental;feminino;V3;Mazagao;-11,161;3,638;-0,618;9
40;48;232;228;227;1;a;twp;proparoxitona;fundamental;feminino;V4;Mazagao;-21,161;4,306;-0,618;9
182;72;188;213;231;1;a;twp;proparoxitona;fundamental;feminino;V1;Mazagao;2,839;2,861;0,712;9
52;53;215;193;180;1;a;twp;proparoxitona;fundamental;feminino;V2;Mazagao;-16,161;1,612;-0,506;9
168;67;183;204;239;1;a;twp;proparoxitona;fundamental;feminino;V3;Mazagao;-2,161;2,696;0,581;9
40;58;233;217;211;1;a;twp;proparoxitona;fundamental;feminino;V4;Mazagao;-11,161;3,638;-0,618;9
140;67;194;197;195;1;a;twp;proparoxitona;fundamental;feminino;V1;Mazagao;-2,161;1,553;0,318;9
240;73;188;223;223;1;a;twp;proparoxitona;fundamental;feminino;V2;Mazagao;3,839;2,916;1,255;9
40;53;215;196;182;1;a;twp;proparoxitona;fundamental;feminino;V3;Mazagao;-16,161;1,758;-0,618;9
190;67;183;206;237;1;a;twp;proparoxitona;fundamental;feminino;V4;Mazagao;-2,161;2,696;0,787;9
41;55;204;204;204;1;i;twp;proparoxitona;fundamental;feminino;V1;Mazagao;-14,161;2,304;-0,609;9
100;70;218;208;205;1;i;twp;proparoxitona;fundamental;feminino;V2;Mazagao;0,839;2,834;-0,056;9
180;73;201;218;233;1;i;twp;proparoxitona;fundamental;feminino;V3;Mazagao;3,839;3,400;0,693;9
60;55;211;196;188;1;i;twp;proparoxitona;fundamental;feminino;V4;Mazagao;-14,161;1,817;-0,431;9
132;48;181;178;180;1;i;twp;proparoxitona;fundamental;feminino;V1;Mazagao;-21,161;0,105;0,244;9
